"description","price","published","category","id","customer_id"
"Предоплата за входную группу Горловка","15000","2024-2-26","1","4387","94"
"Комиссия кондиционирование и вентиляция","10000","2020-7-14","1","4064","60"
"Аванс за обмеры торговой зоны в ТЦ","2000","2022-4-18","6","4262","60"
"За обмеры","20000","2024-2-27","0","4388","90"
"Аванс за планировки по Москве","9650","2019-2-5","10","4017","60"
"Второй платёж за визуализацию предоплата за чертежи и предоплата за баню","83700","2021-1-15","4","4146","69"
"Второй платëж за планировочные решения","7000","2021-7-10","10","4185","60"
"За авторский надзор Одинцово","35000","2022-10-15","6","4279","54"
"Платёж за визуализацию Аквамарин","36250","2019-12-9","2","4040","64"
"Третий платёж за дизайн офиса Астон по договору 1","55000","2023-4-24","2","4332","63"
"Авторский надзор Лаврова","25000","2024-2-27","6","4390","62"
"Комиссионные по мягкой мебели (Олеся Испания)","4650","2020-4-10","1","4170","101"
"Комиссионные за ковёр Горки 10","5900","2024-2-27","1","4391","54"
"Бонус со стульев","2800","2024-2-27","1","4392","54"
"Оплата дизайн-проекта Ростов","100800","2024-2-27","2","4393","59"
"За обмеры","30000","2024-2-27","0","4394","90"
"Дроздов. Первый платёж за дизайн проект бани 127 м.кв. Договор № 27 от 15.02.2021","95250","2021-2-16","3","3994","69"
"Общий доход Август 2018","115000","2018-8-1","7","4007","49"
"Комиссионные за потолок","8500","2018-9-8","1","4004","64"
"Комиссионные за кровать  (Адмирал)","16000","2018-9-7","1","3967","64"
"Предоплата за чертежи Филатова","46000","2018-9-9","2","3975","66"
"Визуализация Филатова","81165","2018-9-11","4","3992","66"
"Общий доход Октябрь 2018","147100","2018-10-1","7","3983","49"
"Авторский надзор Чекистов","10000","2018-9-16","6","3979","92"
"Комисиионные за кухню Премиум Лайф","30000","2018-3-13","1","3980","92"
"Комиссионные за плинтуса Чекистов","3300","2018-9-12","1","3969","92"
"Предоплата за офис ЮМР","20000","2018-9-10","3","4010","51"
"Комиссионные за шторы Чекистов","9000","2018-9-13","1","3966","92"
"Комиссионные за диван (Адмирал)","33000","2018-9-14","1","4003","85"
"Комиссионные за Элевел","8000","2018-9-15","1","3995","47"
"За проект Экспресс Кубань","70000","2018-12-4","4","3996","51"
"Комиссионные за плитку офис","22579","2018-12-5","1","3999","51"
"Дизайн Проект для Марины Эстасадок","30000","2018-12-5","3","3991","95"
"Первый и второй платёж за обмеры Каляева Елизавета","5000","2021-3-2","3","4008","60"
"Второй платёж замеры помещения КраснодарЮгСтрой","2500","2021-3-2","4","3984","78"
"1","2500","2022-3-18","8","3965","60"
"Комиссионные по мебели (Гранит)","24750","2018-12-6","1","3973","51"
"Авторский надзор","10000","2018-12-7","6","3972","92"
"Обмеры Энка","5000","2019-1-1","8","4006","60"
"Аванс за дизайн квартиры","11500","2019-1-1","3","3971","85"
"Форпроект Северная 1й платёж","6000","2019-1-5","9","4013","60"
"Форпроект Северная 2й платёж","6000","2019-2-3","9","4014","60"
"Авторский надзор Телелинский офис","10000","2019-2-10","6","3976","51"
"Офис Телелинский","15000","2019-3-2","9","3998","51"
"Планировка","9750","2019-3-4","10","4009","60"
"Аслан","112500","2019-3-10","11","3990","92"
"Завершение проекта по Москве","19000","2019-5-10","4","4001","73"
"Обмеры","6800","2019-5-12","8","3977","60"
"Оплата работы по Аслану","49000","2019-5-15","11","3987","92"
"Аванс за дизайн контейнера. Стасовский","20000","2019-5-20","3","4015","72"
"Комиссионные","4400","2019-5-21","1","3993","60"
"Аванс за планировки Аквамарин","9000","2019-6-1","3","4016","64"
"Комиссионные за диваны","14000","2019-6-2","1","3964","93"
"Комиссионные за мох","3000","2019-6-5","1","3968","51"
"Оплата за офис Красных партизан","45000","2019-6-10","3","3985","93"
"За фасад Аслан","30000","2019-7-10","11","4000","86"
"Стасовский","20000","2019-7-12","4","4011","72"
"Комиссионные","4000","2019-7-15","1","3986","98"
"Комиссионные за двери София","28000","2019-7-16","1","4002","60"
"Аванс Фасад Телилинский","15000","2019-7-18","11","3970","51"
"Обмеры Красная 102","5000","2019-8-1","8","3982","60"
"Комиссионные за балки (Филатова)","16000","2019-8-2","1","3997","66"
