description,price,published,category,customer_id
Предоплата за входную группу Горловка,15000,26-2-2024,1,94
Комиссия кондиционирование и вентиляция,10000,14-7-2020,1,60
Аванс за обмеры торговой зоны в ТЦ,2000,18-4-2022,6,60
За обмеры,20000,27-2-2024,0,90
Аванс за планировки по Москве,9650,5-2-2019,10,60
Второй платёж за визуализацию предоплата за чертежи и предоплата за баню,83700,15-1-2021,4,69
Второй платëж за планировочные решения,7000,10-7-2021,10,60
За авторский надзор Одинцово,35000,15-10-2022,6,54
Платёж за визуализацию Аквамарин,36250,9-12-2019,2,64
Третий платёж за дизайн офиса Астон по договору 1,55000,24-4-2023,2,63
Авторский надзор Лаврова,25000,27-2-2024,6,62
Комиссионные по мягкой мебели (Олеся Испания),4650,10-4-2020,1,101
Комиссионные за ковёр Горки 10,5900,27-2-2024,1,54
Бонус со стульев,2800,27-2-2024,1,54
Оплата дизайн-проекта Ростов,100800,27-2-2024,2,59
За обмеры,30000,27-2-2024,0,90
Дроздов. Первый платёж за дизайн проект бани 127 м.кв. Договор № 27 от 15.02.2021,95250,16-2-2021,3,69
Общий доход Август 2018,115000,1-8-2018,7,49
Комиссионные за потолок,8500,8-9-2018,1,64
Комиссионные за кровать  (Адмирал),16000,7-9-2018,1,64
Предоплата за чертежи Филатова,46000,9-9-2018,2,66
Визуализация Филатова,81165,11-9-2018,4,66
Общий доход Октябрь 2018,147100,1-10-2018,7,49
Авторский надзор Чекистов,10000,16-9-2018,6,92
Комисиионные за кухню Премиум Лайф,30000,13-3-2018,1,92
Комиссионные за плинтуса Чекистов,3300,12-9-2018,1,92
Предоплата за офис ЮМР,20000,10-9-2018,3,51
Комиссионные за шторы Чекистов,9000,13-9-2018,1,92
Комиссионные за диван (Адмирал),33000,14-9-2018,1,85
Комиссионные за Элевел,8000,15-9-2018,1,47
За проект Экспресс Кубань,70000,4-12-2018,4,51
Комиссионные за плитку офис,22579,5-12-2018,1,51
Дизайн Проект для Марины Эстасадок,30000,5-12-2018,3,95
Первый и второй платёж за обмеры Каляева Елизавета,5000,2-3-2021,3,60
Второй платёж замеры помещения КраснодарЮгСтрой,2500,2-3-2021,4,78
1,2500,18-3-2022,8,60
Комиссионные по мебели (Гранит),24750,6-12-2018,1,51
Авторский надзор,10000,7-12-2018,6,92
Обмеры Энка,5000,1-1-2019,8,60
Аванс за дизайн квартиры,11500,1-1-2019,3,85
Форпроект Северная 1й платёж,6000,5-1-2019,9,60
Форпроект Северная 2й платёж,6000,3-2-2019,9,60
Авторский надзор Телелинский офис,10000,10-2-2019,6,51
Офис Телелинский,15000,2-3-2019,9,51
Планировка,9750,4-3-2019,10,60
Аслан,112500,10-3-2019,11,92
Завершение проекта по Москве,19000,10-5-2019,4,73
Обмеры,6800,12-5-2019,8,60
Оплата работы по Аслану,49000,15-5-2019,11,92
Аванс за дизайн контейнера. Стасовский,20000,20-5-2019,3,72
Комиссионные,4400,21-5-2019,1,60
Аванс за планировки Аквамарин,9000,1-6-2019,3,64
Комиссионные за диваны,14000,2-6-2019,1,93
Комиссионные за мох,3000,5-6-2019,1,51
Оплата за офис Красных партизан,45000,10-6-2019,3,93
За фасад Аслан,30000,10-7-2019,11,86
Стасовский,20000,12-7-2019,4,72
Комиссионные,4000,15-7-2019,1,98
Комиссионные за двери София,28000,16-7-2019,1,60
Аванс Фасад Телилинский,15000,18-7-2019,11,51
Обмеры Красная 102,5000,1-8-2019,8,60
Комиссионные за балки (Филатова),16000,2-8-2019,1,66
Регион Инвест дизайн офиса,23925,7-8-2019,3,99
Фасад кпп и чертежи квартиры Аслан,26750,20-8-2019,11,86
Регион Инвест,70000,2-9-2019,3,99
Авторский надзор Филатова,18500,5-9-2019,6,66
Комиссионные светодиодная лента,1500,18-9-2019,1,60
Комиссионные за шторы,2800,20-9-2019,1,60
Агро-Трейд аванс за чертежи,76775,25-10-2019,2,93
Комиссия решетки,3750,13-7-2020,1,60
Реклама в Инстаграм,2000,15-7-2020,12,65
Комиссионные за Миле,2900,20-7-2020,1,60
Третий платёж Алана,39150,22-7-2020,2,73
Комиссионные за плитку,14000,23-7-2020,1,60
Авторский Июль,8000,25-7-2020,6,66
Аквамарин чертежи итог,38750,5-8-2020,2,64
Второй платёж обмеры,4900,15-8-2020,8,93
бонус от Элевел,7000,10-10-2023,1,91
Комиссия за мебель Филатова,22500,18-8-2020,1,66
Оплата проекта Алана,30000,20-8-2020,4,73
Авторский надзор Филатова,10000,1-9-2020,6,66
Комиссия за вентиляцию офиса,5000,15-9-2020,1,93
Первый платёж офис Астон,55000,20-9-2020,3,63
Последний платёж Алана,15000,25-9-2020,2,73
Реклама в Инстаграм,2000,20-10-2020,12,65
Авторский надзор Филатова,15000,25-10-2020,6,66
Предоплата за форпроект,13000,1-11-2020,9,60
Оплата за форпроект,2000,1-12-2020,9,60
Возврат за питание школа,1800,12-12-2020,11,75
Обмеры для московских дизайнеров,10000,16-12-2020,8,60
Второй платёж за дизайн офиса Пушкина,33600,2-3-2021,4,60
Аквамарин,5000,21-3-2021,5,64
Визуализация кухни Ставрапольская,4400,20-12-2020,4,62
